Planet,Flag,l_Mp,Mp,E_Mp,e_Mp,f_Mp,Rp,E_Rp,e_Rp,f_Rp,Per,a,e,S,R1,R2,R3,R4,CHZ,OHZ,TSM,K,Mstar,Rstar,Teff,logg,Lstar,Jmag,Vmag
BD+45 564 b,,,432.25,38.14,-38.14,,13.4,,,1,307.88,0.83,0.12,1490.5,0.679,0.86,1.557,1.642,44,100,,47.4,0.81,1.16,5004,4.22,0.752,8.063,9.67
BD+49 828 b,,,508.53,127.1,-63.6,,13.41,,,1,2590.0,4.2,0.35,2283.7,4.267,5.404,9.802,10.339,26,60,,19.1,1.52,7.6,4943,2.85,29.512,7.246,9.381
BD+55 362 b,,,228.84,25.43,-25.43,,13.64,,,1,265.59,0.78,0.27,2574.2,0.838,1.062,1.921,2.026,0,49,,25.2,0.91,1.42,5012,4.09,1.147,7.826,9.38
BD+63 1405 b,,,1258.61,98.53,-98.53,,12.86,,,1,1198.48,2.06,0.88,255.7,0.698,0.885,1.601,1.688,8,12,,181.5,0.82,1.19,5000,4.2,0.795,7.303,8.96
GJ 1061 c,,,1.74,0.23,-0.23,,1.15,,,1,6.69,0.035,0.29,1892.4,0.034,0.043,0.086,0.09,27,63,87.1,2.5,0.12,0.16,2953,,0.002,7.523,12.7
GJ 1061 d,,,1.64,0.24,-0.23,,1.13,,,1,13.03,0.054,0.53,795.0,0.034,0.043,0.086,0.09,78,87,70.3,2.2,0.12,0.16,2953,,0.002,7.523,12.7
GJ 1132 c,,,2.64,0.44,-0.44,,1.34,,,1,8.93,0.0476,0.27,2635.9,0.054,0.069,0.135,0.142,0,40,16.5,2.7,0.18,0.21,3270,,0.004,9.245,13.68
GJ 1148 b,,,96.7,1.41,-1.02,,12.3,,,1,41.38,0.166,0.38,669.8,0.095,0.121,0.237,0.25,84,100,,39.7,0.34,0.36,3287,4.87,0.014,7.608,11.939
GJ 180 c,,,6.4,3.7,-4.1,,2.37,,,1,24.33,0.129,0.09,1066.5,0.093,0.118,0.231,0.244,89,100,,2.5,0.43,0.0,3371,,0.013,7.413,10.914
GJ 273 b,,,2.89,0.27,-0.26,,1.44,,,1,18.65,0.091101,0.1,1445.8,0.077,0.097,0.19,0.2,29,100,67.7,1.6,0.29,0.29,3382,,0.009,5.714,9.84
GJ 3021 b,,,1071.09,28.6,-28.6,,12.96,,,1,133.71,0.49,0.511,3756.2,0.619,0.784,1.391,1.467,0,47,,166.8,0.9,0.9,5540,4.7,0.661,5.366,6.59
GJ 3293 b,,,23.54,0.88,-0.89,,5.08,,,1,30.6,0.14339,0.06,1459.2,0.121,0.154,0.299,0.315,0,100,341.2,8.6,0.42,0.4,3466,,0.022,8.362,11.945
