TIC_ID,Prot,eProt,Flare_star,Variability_Classification,Data_Release,
134537478,nan,nan,no,Noisy_LCs,10/09/20,
137881699,nan,nan,no,Noisy_LCs,10/09/20,
137906197,nan,nan,no,Noisy_LCs,10/09/20,
138017750,2.623,0.181,no,Unambiguous_Rotation,10/09/20,
138168780,nan,nan,no,Noisy_LCs,10/09/20,
138588540,9.236,0.87,no,Unambiguous_Rotation,10/09/20,
138968089,nan,nan,no,Noisy_LCs,10/09/20,
139528693,nan,nan,no,Noisy_LCs,10/09/20,
139733308,nan,nan,no,Noisy_LCs,10/09/20,
140068425,1.064,0.024,no,Unambiguous_Rotation,10/09/20,
140691463,nan,nan,no,Noisy_LCs,10/09/20,
140760434,nan,nan,no,Noisy_LCs,10/09/20,
140830390,nan,nan,no,Ambiguous_Variability,10/09/20,
141527579,nan,nan,no,Noisy_LCs,10/09/20,
141527965,nan,nan,no,Noisy_LCs,10/09/20,
141608198,nan,nan,no,Noisy_LCs,10/09/20,
141768070,nan,nan,no,Noisy_LCs,10/09/20,
142090065,2.376,0.123,no,Unambiguous_Rotation,10/09/20,
142276270,8.189,0.699,no,Unambiguous_Rotation,10/09/20,
142394656,6.21/9.42,nan,no,Dubious_Rotation,10/09/20,
143271144,nan,nan,no,Noisy_LCs,10/09/20,
143350972,nan,nan,no,Noisy_LCs,10/09/20,
143526444,nan,nan,no,Noisy_LCs,10/09/20,
144065872,nan,nan,no,Ambiguous_Variability,10/09/20,
144138509,nan,nan,no,Noisy_LCs,10/09/20,
144401492,4.540,0.448,no,Unambiguous_Rotation,10/09/20,
144440290,nan,nan,no,Noisy_LCs,10/09/20,
144700903,nan,nan,no,Noisy_LCs,10/09/20,
146463781,nan,nan,no,Noisy_LCs,10/09/20,
146846569,nan,nan,no,Noisy_LCs,10/09/20,
147660201,nan,nan,no,Ambiguous_Variability,10/09/20,
147950620,nan,nan,no,Noisy_LCs,10/09/20,
148228019,nan,nan,no,Ambiguous_Variability,10/09/20,
148479278,nan,nan,no,Noisy_LCs,10/09/20,
148782377,nan,nan,no,Ambiguous_Variability,10/09/20,
148914726,7.391,0.594,no,Unambiguous_Rotation,10/09/20,
149010208,nan,nan,no,Binary,10/09/20,
149301575,nan,nan,no,Noisy_LCs,10/09/20,
149302744,nan,nan,no,Noisy_LCs,10/09/20,
149603524,nan,nan,no,Ambiguous_Variability,10/09/20,
149788158,nan,nan,no,Noisy_LCs,10/09/20,
149833117,nan,nan,no,Pulsation,10/09/20,
149990841,nan,nan,no,Noisy_LCs,10/09/20,
150030205,nan,nan,no,Noisy_LCs,10/09/20,
150098860,nan,nan,no,Noisy_LCs,10/09/20,
150151262,6.07/11.33,nan,no,Dubious_Rotation,10/09/20,
150247134,nan,nan,no,Noisy_LCs,10/09/20,
150271680,nan,nan,no,Noisy_LCs,10/09/20,
150428135,nan,nan,no,Noisy_LCs,10/09/20,
150428703,4.52/7.34,nan,no,Dubious_Rotation,10/09/20,
151681127,nan,nan,no,Noisy_LCs,10/09/20,
151825527,nan,nan,no,Ambiguous_Variability,10/09/20,
151959065,nan,nan,no,Noisy_LCs,10/09/20,
152147232,nan,nan,no,Noisy_LCs,10/09/20,
152476657,nan,nan,no,Noisy_LCs,10/09/20,
153065527,nan,nan,no,Noisy_LCs,10/09/20,
153077621,nan,nan,no,Ambiguous_Variability,10/09/20,
