,pl-name,pl-letter,hostname,hd-name,hip-name,tic-id,gaia-id,pl-orbsmax,pl-orbsmaxerr1,pl-orbsmaxerr2,pl-rade,pl-radeerr1,pl-radeerr2,pl-bmasse,pl-bmasseerr1,pl-bmasseerr2,pl-radj,pl-radjerr1,pl-radjerr2,pl-bmassj,pl-bmassjerr1,pl-bmassjerr2,pl-bmassprov,pl-orbeccen,pl-orbeccenerr1,pl-orbeccenerr2,pl-orbper,pl-orbpererr1,pl-orbpererr2,st-spectype,st-age,st-ageerr1,st-ageerr2,st-met,st-meterr1,st-meterr2,st-metratio,st-lum,st-lumerr1,st-lumerr2,st-teff,st-tefferr1,st-tefferr2,st-rad,st-raderr1,st-raderr2,st-mass,st-masserr1,st-masserr2,st-vsin,st-vsinerr1,st-vsinerr2,st-rotp,st-rotperr1,st-rotperr2,sy-dist,sy-disterr1,sy-disterr2,sy-vmag,sy-vmagerr1,sy-vmagerr2,sy-kmag,sy-kmagerr1,sy-kmagerr2,sy-snum,sy-pnum,sy-mnum,KIC,koi-name,kepler-name,KOI,TIC,GAIA,e_pl_orbsmax,e_pl_rade,e_pl_bmasse,e_pl_radj,e_pl_bmassj,e_pl_orbeccen,e_pl_orbper,e_st_age,e_st_met,e_st_lum,e_st_teff,e_st_rad,e_st_mass,e_st_vsin,e_st_rotp,e_sy_dist,e_sy_vmag,e_sy_kmag,st-flux,st-spectype-ltr,st-spectype-num,st-lumiclass,st-spectype-val,st-spectype-str
10,Kepler-435 b,b,Kepler-435,,,TIC 63211674,Gaia DR2 2125913531966017408,0.0948,0.0018,-0.0018,22.31,2.02,-2.02,266.97,47.67,-47.67,1.99,0.18,-0.18,0.84,0.15,-0.15,Mass,0.114,0.077,-0.077,8.6001536,1.8e-06,-1.8e-06,,2.25,0.42,-0.42,-0.18,0.11,-0.11,[Fe/H],1.129,0.089,-0.089,6161.0,94.0,-94.0,3.21,0.3,-0.3,1.54,0.09,-0.09,6.0,1.0,-1.0,,,,1418.77,35.37,-35.37,13.704,0.114,-0.114,12.291,0.022,-0.022,1,1,0,7529266,K00680.01,Kepler-435 b,680,63211674,2.1259135319660173e+18,0.0018,2.02,47.67,0.18,0.15,0.077,1.8e-06,0.42,0.11,0.089,94.0,0.3,0.09,1.0,,35.37,0.114,0.022,-16.90288072864513,,,,,
11,TOI-2180 b,b,TOI-2180,,,TIC 298663873,Gaia DR2 2151078741786155008,0.828,0.012,-0.012,11.321,0.247,-0.213,875.61726,27.65107,-25.7441,1.01,0.022,-0.019,2.755,0.087,-0.081,Mass,0.3683,0.0073,-0.0073,260.79,0.59,-0.58,G5,8.1,1.5,-1.3,0.253,0.057,-0.057,[Fe/H],0.406,0.015,-0.016,5695.0,58.0,-60.0,1.64,0.03,-0.03,1.11,0.05,-0.05,2.2,1.0,-1.0,,,,116.685,0.267,-0.266,9.162,0.002,-0.002,7.604,0.016,-0.016,1,1,0,-1,,,-1,298663873,2.151078741786155e+18,0.012,0.247,27.65107,0.022,0.087,0.0073,0.59,1.5,0.057,0.016,60.0,0.03,0.05,1.0,,0.267,0.002,0.016,-15.456086796320506,G,5.0,,25.0,G5 
12,TOI-1899 b,b,TOI-1899,,,TIC 172370679,Gaia DR2 2073530190996615424,0.1525,0.0065,-0.006,11.097,0.336,-0.336,212.94503,12.71314,-12.71314,0.99,0.03,-0.03,0.67,0.04,-0.04,Mass,0.044,0.029,-0.027,29.090312,3.6e-05,-3.5e-05,M0,7.1,4.5,-4.8,0.28,0.11,-0.11,[Fe/H],-1.057,0.003,-0.003,3926.0,45.0,-47.0,0.61,0.02,-0.02,0.63,0.03,-0.03,2.0,,,,,,128.438,0.25,-0.25,14.88,0.2,-0.2,10.509,0.018,-0.018,1,1,0,-1,,,-1,172370679,2.0735301909966157e+18,0.0065,0.336,12.71314,0.03,0.04,0.029,3.6e-05,4.8,0.11,0.003,47.0,0.02,0.03,,,0.25,0.2,0.018,-17.002443803705088,M,0.0,,0.0,M0 
13,Qatar-3 b,b,Qatar-3,,,TIC 291751373,Gaia DR2 2878641361300809856,0.03783,0.00069,-0.00069,12.285,1.569,-1.569,1369.8473,149.3801,-149.3801,1.096,0.14,-0.14,4.31,0.47,-0.47,Mass,0.0,,,2.5079204,,,G0 V,0.31,0.001,-0.001,-0.041,0.081,-0.081,[Fe/H],0.279,0.094,-0.12,6007.0,52.0,-52.0,1.27,0.14,-0.14,1.15,0.06,-0.06,10.2,0.5,-0.5,6.31,,,735.601,33.463,-30.723,12.929,0.08,-0.08,11.219,0.022,-0.022,1,1,0,-1,,,-1,291751373,2.8786413613008097e+18,0.00069,1.569,149.3801,0.14,0.47,,,0.001,0.081,0.12,52.0,0.14,0.06,0.5,,33.463,0.08,0.022,-17.182341357152175,G,0.0, V,20.0,G0  V
14,WASP-28 b,b,WASP-28,,,TIC 398572544,Gaia DR2 2641087471777046016,0.0442,0.001,-0.001,13.664,0.314,-0.314,282.54945,18.43405,-18.43405,1.219,0.028,-0.028,0.889,0.058,-0.058,Mass,0.0,,,3.40883495,1.5e-07,-1.5e-07,F8,5.5,2.6,-2.6,-0.2,0.07,-0.07,[Fe/H],0.15,0.01,-0.01,6084.0,45.0,-45.0,1.08,0.03,-0.03,0.99,0.07,-0.07,3.25,0.34,-0.34,,,,348.494,5.654,-5.479,12.274,0.069,-0.069,10.732,0.024,-0.024,1,1,0,-1,,,-1,398572544,2.641087471777046e+18,0.001,0.314,18.43405,0.028,0.058,,1.5e-07,2.6,0.07,0.01,45.0,0.03,0.07,0.34,,5.654,0.069,0.024,-16.66244734578455,F,8.0,,38.0,F8 
15,WASP-159 b,b,WASP-159,,,TIC 77156657,Gaia DR2 4864759888238232320,0.0538,0.0015,-0.0015,15.468,1.009,-1.009,174.8065,25.4264,-25.4264,1.38,0.09,-0.09,0.55,0.08,-0.08,Mass,0.0,,,3.840401,7e-06,-7e-06,F9,3.4,0.95,-0.95,0.22,0.12,-0.12,,0.678,0.012,-0.012,6120.0,140.0,-140.0,2.11,0.1,-0.1,1.41,0.12,-0.12,5.7,0.4,-0.4,,,,715.383,10.775,-10.466,12.836,0.05,-0.05,11.017,0.019,-0.019,1,1,0,-1,,,-1,77156657,4.864759888238233e+18,0.0015,1.009,25.4264,0.09,0.08,,7e-06,0.95,0.12,0.012,140.0,0.1,0.12,0.4,,10.775,0.05,0.019,-16.75913396639318,F,9.0,,39.0,F9 
16,WASP-7 b,b,WASP-7,HD 197286,,TIC 389352124,Gaia DR2 6681720724498802176,0.0617,0.0011,-0.0011,14.908,1.042,-1.042,305.1168,41.3179,-41.3179,1.33,0.093,-0.093,0.96,0.13,-0.13,Mass,0.034,0.045,-0.024,4.9546416,3.5e-06,-3.5e-06,,2.4,0.9,-1.1,0.0,0.1,-0.1,[Fe/H],0.537,0.005,-0.005,6400.0,100.0,-100.0,1.43,0.09,-0.09,1.28,0.07,-0.07,17.0,2.0,-2.0,,,,162.303,1.296,-1.276,9.504,0.003,-0.003,8.396,0.023,-0.023,1,1,0,-1,,,-1,389352124,6.681720724498803e+18,0.0011,1.042,41.3179,0.093,0.13,0.045,3.5e-06,1.1,0.1,0.005,100.0,0.09,0.07,2.0,,1.296,0.003,0.023,-15.611709829984065,,,,,
17,42 Dra b,b,42 Dra,HD 170693,HIP 90344,TIC 233721425,Gaia DR2 2256800156348230400,1.19,0.01,-0.01,13.0,,,1233.13,270.14,-270.14,1.16,,,3.88,0.85,-0.85,Msini,0.38,0.06,-0.06,479.1,6.2,-6.2,K1.5 III,9.49,1.76,-1.76,-0.46,0.05,-0.05,[Fe/H],2.155,0.007,-0.008,4200.0,70.0,-70.0,22.03,1.0,-1.0,0.98,0.05,-0.05,1.0,,,,,,90.6545,1.3227,-1.3227,4.8262,0.023,-0.023,2.085,0.216,-0.216,2,1,0,-1,,,-1,233721425,2.2568001563482304e+18,0.01,,270.14,,0.85,0.06,6.2,1.76,0.05,0.008,70.0,1.0,0.05,,,1.3227,0.023,0.216,-13.487835469064107,K,1.5, III,11.5,K1.5  III
18,70 Vir b,b,70 Vir,HD 117176,HIP 65721,TIC 95473936,Gaia DR2 3740176925743650688,0.481,0.022,-0.022,12.6,,,2380.45,193.87,-193.87,1.13,,,7.49,0.61,-0.61,Mass,0.3988,0.0019,-0.0019,116.688,0.0054,-0.0054,G5V,7.77,0.51,-0.51,-0.09,0.03,-0.03,[Fe/H],0.451,0.009,-0.01,5495.0,,,1.89,,,1.09,,,1.56,0.5,-0.5,,,,17.9011,0.056,-0.0557,4.96808,0.023,-0.023,3.5,0.294,-0.294,1,1,0,-1,,,-1,95473936,3.740176925743651e+18,0.022,,193.87,,0.61,0.0019,0.0054,0.51,0.03,0.01,,,,0.5,,0.056,0.023,0.294,-13.782816172526324,G,5.0,,25.0,G5 
19,TOI-3364 b,b,TOI-3364,,,TIC 280655495,Gaia DR2 5409268527708808320,0.0675,0.0011,-0.0016,12.229,0.426,-0.359,530.77344,38.13941,-41.31769,1.091,0.038,-0.032,1.67,0.12,-0.13,Mass,0.0,,,5.8768918,6.9e-06,-6.9e-06,,5.4,2.4,-1.5,0.387,0.072,-0.081,[Fe/H],0.286,0.035,-0.033,5706.0,95.0,-91.0,1.42,0.04,-0.03,1.19,0.06,-0.08,,,,,,,277.899,2.505,-2.461,11.875,0.024,-0.024,9.783,0.019,-0.019,1,1,0,-1,,,-1,280655495,5.409268527708808e+18,0.0016,0.426,41.31769,0.038,0.13,,6.9e-06,2.4,0.081,0.035,95.0,0.04,0.08,,,2.505,0.024,0.019,-16.329830703235206,,,,,
20,KMT-2016-BLG-2605L b,b,KMT-2016-BLG-2605L,,,,,0.681,0.102,-0.11,14.0,,,245.0457,375.99101,-127.44919,1.25,,,0.771,1.183,-0.401,Mass,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.1,-0.03,,,,,,,6421.0,878.0,-991.0,,,,,,,1,1,0,-1,,,-1,-1,,0.11,,375.99101,,1.183,,,,,,,,0.1,,,991.0,,,,,,,,
21,24 Sex b,b,24 Sex,HD 90043,HIP 50887,TIC 1713457,Gaia DR2 3830897080395058048,1.333,0.004,-0.009,13.4,,,632.46,82.63,-120.77,1.19,,,1.99,0.26,-0.38,Msini,0.09,0.14,-0.06,452.8,2.1,-4.5,K0 IV,2.7,0.4,-0.4,-0.03,0.04,-0.04,[Fe/H],1.164,0.003,-0.003,5098.0,44.0,-44.0,4.9,0.08,-0.08,1.54,0.08,-0.08,2.77,0.5,-0.5,,,,72.0691,0.6854,-0.6728,6.4535,0.023,-0.023,4.285,0.016,-0.016,1,2,0,-1,,,-1,1713457,3.830897080395058e+18,0.009,,120.77,,0.38,0.14,4.5,0.4,0.04,0.003,44.0,0.08,0.08,0.5,,0.6854,0.023,0.016,-14.279554932465741,K,0.0, IV,10.0,K0  IV
22,24 Sex c,c,24 Sex,HD 90043,HIP 50887,TIC 1713457,Gaia DR2 3830897080395058048,2.08,0.05,-0.02,13.9,,,273.32,111.24,-69.92,1.24,,,0.86,0.35,-0.22,Msini,0.29,0.16,-0.09,883.0,32.4,-13.8,K0 IV,2.7,0.4,-0.4,-0.03,0.04,-0.04,[Fe/H],1.164,0.003,-0.003,5098.0,44.0,-44.0,4.9,0.08,-0.08,1.54,0.08,-0.08,2.77,0.5,-0.5,,,,72.0691,0.6854,-0.6728,6.4535,0.023,-0.023,4.285,0.016,-0.016,1,2,0,-1,,,-1,1713457,3.830897080395058e+18,0.05,,111.24,,0.35,0.16,32.4,0.4,0.04,0.003,44.0,0.08,0.08,0.5,,0.6854,0.023,0.016,-14.279554932465741,K,0.0, IV,10.0,K0  IV
23,HIP 63242 b,b,HIP 63242,HD 112410,HIP 63242,TIC 437310271,Gaia DR2 5858576597131420288,0.565,,,12.5,,,2917.56,,,1.12,,,9.18,,,Msini,0.23,,,124.6,,,G8,,,,-0.31,0.09,-0.09,[Fe/H],1.63,0.001,-0.001,4830.0,100.0,-100.0,10.28,0.18,-0.11,1.54,0.05,-0.05,3.7,0.1,-0.1,,,,156.456,0.6995,-0.6995,6.86,0.03,-0.03,4.406,0.016,-0.016,1,1,0,-1,,,-1,437310271,5.858576597131421e+18,,,,,,,,,0.09,0.001,100.0,0.18,0.05,0.1,,0.6995,0.03,0.016,-14.4868411807347,G,8.0,,28.0,G8 
24,GJ 504 b,b,GJ 504,HD 115383,HIP 64792,TIC 397587084,Gaia DR2 3732539683617410816,43.5,,,13.0,,,1271.3,1430.2,-317.8,1.16,,,4.0,4.5,-1.0,Mass,,,,,,,G0 V,0.16,0.35,-0.06,0.28,0.03,-0.03,[Fe/H],0.332,0.032,-0.032,6234.0,25.0,-25.0,1.26,0.03,-0.04,1.22,0.08,-0.08,5.47,0.12,-0.17,3.33,,,17.5299,0.0785,-0.0778,5.18799,0.023,-0.023,4.033,0.238,-0.238,1,1,0,-1,,,-1,397587084,3.732539683617411e+18,,,1430.2,,4.5,,,0.35,0.03,0.032,25.0,0.04,0.08,0.17,,0.0785,0.023,0.238,-13.88361561253313,G,0.0, V,20.0,G0  V
25,RR Cae b,b,RR Cae,,,TIC 219244444,Gaia DR2 4788741548375134336,5.3,0.6,-0.6,13.0,,,1334.886,127.132,-127.132,1.16,,,4.2,0.4,-0.4,Msini,0.0,,,4343.5,36.5,-36.5,M,,,,,,,,-2.108,0.087,-0.11,3904.0,157.0,-157.0,0.19,0.01,-0.01,0.44,,,,,,,,,21.1916,0.011,-0.011,14.379,0.009,-0.009,9.852,0.025,-0.025,2,1,0,-1,,,-1,219244444,4.788741548375134e+18,0.6,,127.132,,0.4,,36.5,,,0.11,157.0,0.01,,,,0.011,0.009,0.025,-16.48838423099706,M,,,,M
26,HAT-P-44 b,b,HAT-P-44,,,TIC 168699373,Gaia DR2 1506159170017461888,0.0507,0.0007,-0.0007,13.922,1.188,-0.572,111.871,9.217,-9.217,1.242,0.106,-0.051,0.352,0.029,-0.029,Mass,0.044,0.052,-0.052,4.301219,1.9e-05,-1.9e-05,,7.5,3.6,-3.6,0.33,0.1,-0.1,[Fe/H],-0.194,0.086,-0.058,5295.0,100.0,-100.0,0.95,0.08,-0.04,0.94,0.04,-0.04,0.2,0.5,-0.5,,,,347.85,2.226,-2.199,13.225,0.069,-0.069,11.275,0.018,-0.018,1,2,0,-1,,,-1,168699373,1.5061591700174618e+18,0.0007,1.188,9.217,0.106,0.029,0.052,1.9e-05,3.6,0.1,0.086,100.0,0.08,0.04,0.5,,2.226,0.069,0.018,-17.004840750618452,,,,,
27,HAT-P-67 b,b,HAT-P-67,,,TIC 198588220,Gaia DR2 1358614983131339392,0.06505,0.00273,-0.00079,23.371,1.076,-0.796,108.0622,79.4575,-60.3877,2.085,0.096,-0.071,0.34,0.25,-0.19,Mass,0.0,,,4.8101025,4.3e-07,-3.3e-07,,1.24,0.27,-0.22,-0.08,0.05,-0.05,[Fe/H],0.939,0.069,-0.045,6406.0,65.0,-61.0,2.55,0.1,-0.08,1.64,0.15,-0.07,35.8,1.1,-1.1,,,,371.686,3.563,-3.497,10.106,0.005,-0.005,8.9,0.019,-0.019,2,1,0,-1,,,-1,198588220,1.3586149831313393e+18,0.00273,1.076,79.4575,0.096,0.25,,4.3e-07,0.27,0.05,0.069,65.0,0.1,0.15,1.1,,3.563,0.005,0.019,-15.929409141591236,,,,,
28,HATS-43 b,b,HATS-43,,,TIC 78055054,Gaia DR2 2905983466705521792,0.04944,0.00046,-0.00046,13.227,0.56,-0.56,82.95363,17.16282,-17.16282,1.18,0.05,-0.05,0.261,0.054,-0.054,Mass,0.173,0.089,-0.089,4.3888497,5.9e-06,-5.9e-06,,8.6,3.0,-4.8,0.05,0.041,-0.041,[Fe/H],-0.398,0.047,-0.053,5099.0,61.0,-61.0,0.81,0.03,-0.03,0.84,0.02,-0.02,1.11,0.82,-0.82,,,,362.273,2.259,-2.232,13.562,0.057,-0.057,11.556,0.023,-0.023,1,1,0,-1,,,-1,78055054,2.9059834667055217e+18,0.00046,0.56,17.16282,0.05,0.054,0.089,5.9e-06,4.8,0.041,0.053,61.0,0.03,0.02,0.82,,2.259,0.057,0.023,-17.244128670272506,,,,,
29,HATS-45 b,b,HATS-45,,,TIC 4616072,Gaia DR2 2926039005480063616,0.05511,0.00069,-0.00069,14.415,1.042,-1.042,222.481,47.6745,-47.6745,1.286,0.093,-0.093,0.7,0.15,-0.15,Mass,0.24,,,4.1876244,5.6e-06,-5.6e-06,,1.52,0.7,-0.7,0.02,0.068,-0.068,[Fe/H],0.425,0.055,-0.063,6450.0,110.0,-110.0,1.32,0.06,-0.06,1.27,0.05,-0.05,9.9,0.4,-0.4,,,,772.11,11.303,-10.987,13.325,0.103,-0.103,12.137,0.021,-0.021,1,1,0,-1,,,-1,4616072,2.9260390054800635e+18,0.00069,1.042,47.6745,0.093,0.15,,5.6e-06,0.7,0.068,0.063,110.0,0.06,0.05,0.4,,11.303,0.103,0.021,-17.078415089762327,,,,,
30,HD 189733 b,b,HD 189733,HD 189733,HIP 98505,TIC 256364928,Gaia DR2 1827242816201846144,0.03126,0.00036,-0.00036,12.666,0.112,-0.112,359.1479,25.4264,-25.4264,1.13,0.01,-0.01,1.13,0.08,-0.08,Mass,0.0,,,2.21857567,1.5e-07,-1.5e-07,K2 V,1.4,4.9,-1.9,-0.02,,,[Fe/H],-0.461,0.018,-0.009,5052.0,16.0,-16.0,0.75,0.01,-0.01,0.79,0.08,-0.08,3.5,1.0,-1.0,11.95,0.01,-0.01,19.7638,0.0128,-0.0127,7.67,0.03,-0.03,5.541,0.021,-0.021,2,1,0,-1,,,-1,256364928,1.8272428162018463e+18,0.00036,0.112,25.4264,0.01,0.08,,1.5e-07,4.9,,0.018,16.0,0.01,0.08,1.0,0.01,0.0128,0.03,0.021,-14.7807976360144,K,2.0, V,12.0,K2  V
31,2MASS J19383260+4603591 b,b,2MASS J19383260+4603591,,,TIC 271164763,Gaia DR2 2080063931448749824,0.92,0.02,-0.02,13.4,,,603.877,31.783,-31.783,1.2,,,1.9,0.1,-0.1,Mass,0.33,0.05,-0.05,406.0,4.0,-4.0,,,,,-0.092,,,[Fe/H],1.45,,,29564.0,,,0.2,0.0,-0.0,0.48,,,,,,,,,396.332,6.3885,-6.3885,12.651,0.215,-0.215,12.955,0.029,-0.029,2,3,0,9472174,,Kepler-451 b,-1,271164763,2.0800639314487496e+18,0.02,,31.783,,0.1,0.05,4.0,,,,,0.0,,,,6.3885,0.215,0.029,-15.47417501294196,,,,,
32,Kepler-423 b,b,Kepler-423,,,TIC 63452790,Gaia DR2 2128273225659492608,0.03585,0.00052,-0.00114,13.361,0.583,-0.583,189.101,25.743,-25.743,1.192,0.052,-0.052,0.595,0.081,-0.081,Mass,0.019,0.028,-0.014,2.6843285,7e-08,-7e-08,G4 V,11.0,2.0,-2.0,-0.1,0.05,-0.05,[M/H],-0.018,0.067,-0.079,5560.0,80.0,-80.0,0.95,0.04,-0.04,0.85,0.04,-0.04,2.5,0.5,-0.5,22.05,0.12,-0.12,758.753,12.76,-12.76,14.462,0.126,-0.126,12.779,0.031,-0.031,1,1,0,9651668,K00183.01,Kepler-423 b,183,63452790,2.1282732256594929e+18,0.00114,0.583,25.743,0.052,0.081,0.028,7e-08,2.0,0.05,0.079,80.0,0.04,0.04,0.5,0.12,12.76,0.126,0.031,-17.506257577680103,G,4.0, V,24.0,G4  V
33,KOI-142 c,c,KOI-142,,,TIC 122712595,Gaia DR2 2101507367429089664,0.154121,,,14.0,,,214.1,5.2,-5.2,1.25,,,0.674,0.016,-0.016,Mass,0.05724,0.00045,-0.00045,22.26492,0.00067,-0.00067,G6 V,2.2,2.4,-2.0,0.27,0.06,-0.06,[Fe/H],-0.223,0.054,-0.054,5466.0,60.0,-60.0,0.9,0.02,-0.02,0.99,0.02,-0.02,1.8,0.5,-0.5,,,,376.863,2.01,-1.991,13.209,0.126,-0.126,11.454,0.019,-0.019,1,3,0,5446285,,Kepler-88 c,-1,122712595,2.1015073674290895e+18,,,5.2,,0.016,0.00045,0.00067,2.4,0.06,0.054,60.0,0.02,0.02,0.5,,2.01,0.126,0.019,-17.103423737195236,G,6.0, V,26.0,G6  V
34,HATS-15 b,b,HATS-15,,,TIC 271898990,Gaia DR2 6858088299469303168,0.02712,0.00023,-0.00023,12.386,0.448,-0.448,689.6911,47.6745,-47.6745,1.105,0.04,-0.04,2.17,0.15,-0.15,Mass,0.126,,,1.74748753,9.4e-07,-9.4e-07,G9 V,11.0,1.4,-2.0,0.0,0.05,-0.05,[Fe/H],-0.204,0.038,-0.042,5311.0,77.0,-77.0,0.92,0.03,-0.03,0.87,0.02,-0.02,4.18,0.5,-0.5,,,,1139.55,99.7,-85.11,14.909,0.172,-0.172,12.724,0.032,-0.032,1,1,0,-1,,,-1,271898990,6.858088299469303e+18,0.00023,0.448,47.6745,0.04,0.15,,9.4e-07,2.0,0.05,0.042,77.0,0.03,0.02,0.5,,99.7,0.172,0.032,-18.04552350615105,G,9.0, V,29.0,G9  V
35,BD-10 3166 b,b,BD-10 3166,,,TIC 148563075,Gaia DR2 3758629479636689536,0.04,0.0,0.0,14.1,,,187.5197,22.2481,-22.2481,1.26,,,0.59,0.07,-0.07,Msini,0.02,0.02,-0.02,3.48777,0.00011,-0.00011,K0 V,1.0,2.0,-1.0,0.38,,,[Fe/H],-0.191,0.002,-0.003,5393.0,44.0,-44.0,0.91,0.04,-0.04,1.47,0.24,-0.24,0.92,,,,,,84.4069,0.3537,-0.3508,10.013,0.007,-0.007,8.124,0.026,-0.026,1,1,0,-1,,,-1,148563075,3.7586294796366894e+18,0.0,,22.2481,,0.07,0.02,0.00011,2.0,,0.003,44.0,0.04,0.24,,,0.3537,0.007,0.026,-15.771812635815108,K,0.0, V,10.0,K0  V
36,BD-13 2130 b,b,BD-13 2130,,,TIC 288474555,Gaia DR2 3030262468592291072,1.66,0.12,-0.12,12.5,,,3108.3774,1449.3048,-1449.3048,1.11,,,9.78,4.56,-4.56,Msini,0.21,0.07,-0.07,714.29999,5.3,-5.3,G5 IV/V,0.74,0.2,-0.2,-0.08,,,[Fe/H],2.043,0.027,-0.028,4545.0,71.0,-71.0,19.17,4.96,-4.96,2.12,1.47,-1.47,,,,,,,925.214,41.211,-41.211,10.038,0.009,-0.009,7.151,0.023,-0.023,1,1,0,-1,,,-1,288474555,3.030262468592291e+18,0.12,,1449.3048,,4.56,0.07,5.3,0.2,,0.028,71.0,4.96,1.47,,,41.211,0.009,0.023,-15.617541126698374,G,5.0, IV,25.0,G5  IV
37,KMT-2021-BLG-1105L b,b,KMT-2021-BLG-1105L,,,,,3.54,1.06,-1.06,13.6,,,413.17693,216.12332,-216.12332,1.22,,,1.3,0.68,-0.68,Mass,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.33,-0.33,,,,,,,4540.0,1670.0,-1670.0,,,,,,,1,1,0,-1,,,-1,-1,,1.06,,216.12332,,0.68,,,,,,,,0.33,,,1670.0,,,,,,,,
38,OGLE2-TR-L9 b,b,OGLE2-TR-L9,,,TIC 466840711,Gaia DR2 5337273743301313536,0.0308,0.0005,-0.0005,18.046,0.448,-0.448,1430.175,476.725,-476.725,1.61,0.04,-0.04,4.5,1.5,-1.5,Mass,,,,2.4855335,7e-07,-7e-07,,1.0,0.7,-0.7,-0.05,0.2,-0.2,[Fe/H],0.512,0.049,-0.055,6933.0,58.0,,1.53,0.04,,1.52,0.08,,39.33,0.38,,,,,1627.63,80.28,-73.2,14.718,0.069,-0.069,13.117,0.037,-0.037,1,1,0,-1,,,-1,466840711,5.337273743301314e+18,0.0005,0.448,476.725,0.04,1.5,,7e-07,0.7,0.2,0.055,,,,,,80.28,0.069,0.037,-17.63916810731883,,,,,
39,TOI-837 b,b,TOI-837,,,TIC 460205581,Gaia DR2 5251470948229949568,0.0888,0.0026,-0.0029,9.169,0.381,-0.269,120.45697,18.43405,-19.38753,0.818,0.034,-0.024,0.379,0.058,-0.061,Mass,0.0,,,8.3249113,3.6e-06,-3.6e-06,F9/G0,0.035,0.007,-0.004,0.01,0.04,-0.04,[Fe/H],0.127,0.019,-0.041,5995.0,79.0,-79.0,1.05,0.01,-0.01,1.14,0.01,-0.01,16.8,0.1,-0.1,2.97,0.01,-0.01,142.488,0.461,-0.458,10.635,0.007,-0.007,8.933,0.026,-0.026,1,1,0,-1,,,-1,460205581,5.251470948229949e+18,0.0029,0.381,19.38753,0.034,0.061,,3.6e-06,0.007,0.04,0.041,79.0,0.01,0.01,0.1,0.01,0.461,0.007,0.026,-15.908613316506445,F,9.0,,39.0,F9 
40,PDS 70 b,b,PDS 70,,,TIC 179413040,Gaia DR2 6110141563309613056,20.0,2.0,-2.0,30.488,2.242,-1.906,953.49,317.83,-317.83,2.72,0.2,-0.17,3.0,1.0,-1.0,Mass,0.19,0.15,-0.09,43500.0,,,K7,0.005,0.001,-0.001,-0.11,0.01,-0.01,[Fe/H],-0.456,0.099,-0.129,3972.0,36.0,-36.0,1.26,0.15,-0.15,0.76,0.02,-0.02,17.27,0.1,-0.1,,,,113.064,0.523,-0.519,12.032,0.08,-0.08,8.542,0.023,-0.023,1,2,0,-1,,,-1,179413040,6.110141563309613e+18,2.0,2.242,317.83,0.2,1.0,0.15,,0.001,0.01,0.129,36.0,0.15,0.02,0.1,,0.523,0.08,0.023,-16.290705427130796,K,7.0,,17.0,K7 
41,TOI-1181 b,b,TOI-1181,,,TIC 229510866,Gaia DR2 2241587416546520320,0.0364,0.0006,-0.007,17.026,0.661,-0.661,374.71969,7.31005,-7.31005,1.519,0.059,-0.059,1.179,0.023,-0.023,Mass,0.011,0.007,-0.008,2.103189,3e-06,-5e-06,F9 IV,2.7,0.2,-0.2,0.38,0.06,-0.06,[Fe/H],0.642,0.022,-0.015,6054.0,81.0,-81.0,1.96,0.03,-0.03,1.47,0.02,-0.02,10.6,1.0,-1.0,8.7,1.4,-1.4,302.819,3.542,-3.462,10.582,0.006,-0.006,9.22,0.015,-0.015,1,1,0,-1,,,-1,229510866,2.2415874165465203e+18,0.007,0.661,7.31005,0.059,0.023,0.008,5e-06,0.2,0.06,0.022,81.0,0.03,0.02,1.0,1.4,3.542,0.006,0.015,-16.048422977126833,F,9.0, IV,39.0,F9  IV
42,WASP-124 b,b,WASP-124,,,TIC 97409519,Gaia DR2 6614751532833886464,0.0449,0.0007,-0.0007,13.899,0.336,-0.336,190.698,22.2481,-22.2481,1.24,0.03,-0.03,0.6,0.07,-0.07,Mass,0.017,,,3.37265,1e-06,-1e-06,F9,2.1,1.4,-1.4,-0.02,0.11,-0.11,[Fe/H],0.149,0.011,-0.011,6050.0,100.0,-100.0,1.02,0.02,-0.02,1.07,0.05,-0.05,3.2,0.9,-0.9,,,,448.637,7.632,-7.384,12.724,0.092,-0.092,11.31,0.023,-0.023,1,1,0,-1,,,-1,97409519,6.614751532833886e+18,0.0007,0.336,22.2481,0.03,0.07,,1e-06,1.4,0.11,0.011,100.0,0.02,0.05,0.9,,7.632,0.092,0.023,-16.882846910966187,F,9.0,,39.0,F9 
43,HAT-P-3 b,b,HAT-P-3,,,TIC 311035838,Gaia DR2 1510191594552968832,0.03866,0.00041,-0.00041,10.536,0.785,-0.785,206.5895,34.9613,-34.9613,0.94,0.07,-0.07,0.65,0.11,-0.11,Mass,0.0,,,2.8997,5.4e-05,-5.4e-05,K,1.6,2.1,-2.1,0.27,,,[Fe/H],-0.36,0.05,-0.05,5185.0,80.0,-80.0,0.87,0.06,-0.06,1.06,0.28,-0.28,1.4,0.5,-0.5,,,,134.554,0.48,-0.477,11.856,0.021,-0.021,9.448,0.025,-0.025,2,1,0,-1,,,-1,311035838,1.5101915945529687e+18,0.00041,0.785,34.9613,0.07,0.11,,5.4e-05,2.1,,0.05,80.0,0.06,0.28,0.5,,0.48,0.021,0.025,-16.345849961089616,K,,,,K
