hostname,KOI,Prot,e_Prot,db
Kepler-737,947,24.791,0.406,mcq13
Kepler-652,714,26.863,0.276,mcq13
Kepler-1138,2200,24.882,0.438,mcq13
Kepler-1022,1940,18.75,0.015,mcq13
Kepler-843,1425,21.697,3.27,mcq13
Kepler-398,2693,30.289,0.056,mcq13
Kepler-283,1298,18.167,0.045,mcq13
Kepler-631,639,7.768,0.005,mcq13
HAT-P-11,3,29.472,0.134,mcq13
Kepler-1086,2078,12.72,0.002,mcq13
Kepler-987,1866,18.283,1.046,mcq13
Kepler-576,492,29.609,0.205,mcq13
Kepler-777,1141,18.029,0.004,mcq13
Kepler-1320,2708,10.564,0.001,mcq13
Kepler-756,1053,27.433,0.513,mcq13
Kepler-600,560,15.855,0.054,mcq13
Kepler-1032,1973,12.969,0.002,mcq13
Kepler-1007,1900,18.133,0.02,mcq13
Kepler-21,975,12.591,0.036,mcq13
Kepler-951,1788,19.762,0.052,mcq13
Kepler-125,251,14.536,0.004,mcq13
Kepler-1359,2828,25.343,0.082,mcq13
Kepler-1293,2623,12.265,0.021,mcq13
Kepler-934,1711,20.232,0.025,mcq13
Kepler-99,305,29.546,4.762,mcq13
Kepler-1010,1910,34.145,4.058,mcq13
Kepler-1387,2924,20.724,0.013,mcq13
Kepler-687,811,23.475,0.031,mcq13
Kepler-1414,3026,14.552,0.061,mcq13
Kepler-1222,2399,27.785,0.884,mcq13
Kepler-985,1858,18.525,0.026,mcq13
Kepler-834,1404,33.46,0.33,mcq13
Kepler-988,1868,24.789,0.016,mcq13
Kepler-1687,2588,29.273,0.014,mcq13
Kepler-1346,2789,21.309,1.958,mcq13
Kepler-938,1721,28.626,3.602,mcq13
Kepler-999,1886,7.306,0.045,mcq13
Kepler-1042,1996,20.324,0.021,mcq13
Kepler-516,302,5.494,0.0,mcq13
Kepler-1384,2910,22.168,0.089,mcq13
Kepler-1075,2058,21.968,0.15,mcq13
Kepler-1057,2019,13.602,0.013,mcq13
Kepler-1378,2883,20.386,0.171,mcq13
Kepler-527,333,6.886,0.176,mcq13
Kepler-742,956,39.1,0.261,mcq13
Kepler-623,618,26.162,0.541,mcq13
Kepler-1735,1085,39.934,0.024,mcq13
Kepler-1376,2877,26.453,0.082,mcq13
Kepler-981,1851,14.023,0.058,mcq13
Kepler-1190,2318,15.605,0.01,mcq13
Kepler-500,237,23.301,0.348,mcq13
Kepler-1685,2504,19.878,0.083,mcq13
Kepler-833,1403,29.412,0.061,mcq13
Kepler-1759,1646,31.419,0.1,mcq13
Kepler-927,1683,16.825,0.259,mcq13
Kepler-1215,2378,23.609,0.925,mcq13
Kepler-973,1841,25.32,0.2,mcq13
Kepler-1355,2816,20.12,0.018,mcq13
Kepler-1244,2457,3.19,0.188,mcq13
Kepler-909,1616,11.589,1.561,mcq13
Kepler-578,496,14.889,0.005,mcq13
Kepler-1761,1649,25.729,0.436,mcq13
Kepler-1710,103,23.156,0.155,mcq13
Kepler-997,1883,11.485,0.168,mcq13
Kepler-1812,2241,11.15,1.391,mcq13
KOI-142,142,30.689,0.383,mcq13
Kepler-1418,3049,11.911,0.039,mcq13
Kepler-978,1848,18.725,0.041,mcq13
Kepler-801,1266,29.865,0.113,mcq13
Kepler-96,261,14.922,0.083,mcq13
Kepler-1104,2110,4.192,0.004,mcq13
Kepler-962,1819,12.786,0.013,mcq13
