hostname,Prot,e_Prot,KOI,KIC,TIC,GAIA,db
Kepler-118,27.678,0.035,216,-1,-1,-1,mcq13
Kepler-1679,20.505,0.035,2106,-1,-1,-1,mcq13
Kepler-1026,25.656,0.036,1959,-1,-1,-1,mcq13
Kepler-21,12.591,0.036,975,-1,-1,-1,mcq13
Kepler-151,22.801,0.036,413,-1,-1,-1,mcq13
Kepler-949,23.948,0.037,1751,-1,-1,-1,mcq13
Kepler-1011,17.263,0.037,1911,-1,-1,-1,mcq13
Kepler-1318,27.399,0.037,2703,-1,-1,-1,mcq13
Kepler-691,34.586,0.038,818,-1,-1,-1,mcq13
Kepler-1259,23.291,0.038,2493,-1,-1,-1,mcq13
Kepler-1052,13.24,0.038,2012,-1,-1,-1,mcq13
Kepler-25,23.147,0.039,244,-1,-1,-1,mcq13
Kepler-1418,11.911,0.039,3049,-1,-1,-1,mcq13
Kepler-333,24.23,0.039,1908,-1,-1,-1,mcq13
Kepler-245,19.444,0.039,869,-1,-1,-1,mcq13
K2-233,9.75,0.04,-1,-1,-1,-1,nasa
Kepler-727,22.635,0.04,922,-1,-1,-1,mcq13
HD 73344,9.09,0.04,-1,-1,-1,-1,nasa
KOI-7368,2.61,0.04,-1,-1,-1,-1,nasa
GJ 338 B,16.61,0.04,-1,-1,-1,-1,nasa
HATS-57,12.71,0.04,-1,-1,-1,-1,nasa
Kepler-1928,4.69,0.04,-1,-1,-1,-1,nasa
Kepler-1643,5.11,0.04,-1,-1,-1,-1,nasa
Kepler-1049,28.753,0.041,2006,-1,-1,-1,mcq13
Kepler-978,18.725,0.041,1848,-1,-1,-1,mcq13
Kepler-1882,22.999,0.041,2848,-1,-1,-1,mcq13
Kepler-257,21.679,0.042,941,-1,-1,-1,mcq13
Kepler-1008,21.036,0.042,1904,-1,-1,-1,mcq13
Kepler-1363,18.183,0.043,2836,-1,-1,-1,mcq13
Kepler-1050,15.0,0.043,2007,-1,-1,-1,mcq13
Kepler-1819,17.049,0.044,2299,-1,-1,-1,mcq13
Kepler-1317,21.396,0.044,2699,-1,-1,-1,mcq13
Kepler-967,18.347,0.044,1830,-1,-1,-1,mcq13
HD 110082,2.149,0.044,-1,-1,383390264,-1,mar20
Kepler-668,18.958,0.044,765,-1,-1,-1,mcq13
Kepler-999,7.306,0.045,1886,-1,-1,-1,mcq13
Kepler-1103,10.978,0.045,2109,-1,-1,-1,mcq13
LTT 1445 A,1.393,0.046,-1,-1,98796344,-1,mar20
Kepler-1697,26.63,0.046,-1,7742408,-1,-1,mcq14
Kepler-1013,12.772,0.046,1914,-1,-1,-1,mcq13
Kepler-358,21.723,0.047,2080,-1,-1,-1,mcq13
Kepler-928,24.682,0.047,1687,-1,-1,-1,mcq13
Kepler-164,15.35,0.047,474,-1,-1,-1,mcq13
Kepler-506,7.86,0.047,257,-1,-1,-1,mcq13
Kepler-414,18.554,0.048,341,-1,-1,-1,mcq13
Kepler-1853,11.171,0.048,2535,-1,-1,-1,mcq13
Kepler-1091,14.776,0.049,2095,-1,-1,-1,mcq13
Kepler-98,22.965,0.049,299,-1,-1,-1,mcq13
TOI-5398,7.34,0.05,-1,-1,-1,-1,nasa
HD 63433,6.45,0.05,-1,-1,-1,-1,nasa
HD 190007,28.63,0.05,-1,-1,-1,-1,nasa
WASP-10,11.91,0.05,-1,-1,-1,-1,nasa
55 Cnc,38.8,0.05,-1,-1,-1,-1,nasa
WASP-41,18.41,0.05,-1,-1,-1,-1,nasa
TRAPPIST-1,1.4,0.05,-1,-1,-1,-1,nasa
DS Tuc A,2.85,0.05,-1,-1,-1,-1,nasa
Kepler-1089,36.421,0.051,2090,-1,-1,-1,mcq13
Kepler-610,18.139,0.051,581,-1,-1,-1,mcq13
Kepler-951,19.762,0.052,1788,-1,-1,-1,mcq13
Kepler-1304,32.928,0.052,2652,-1,-1,-1,mcq13
Kepler-1978,21.23,0.052,1942,-1,-1,-1,mcq13
Kepler-43,12.851,0.053,135,-1,-1,-1,mcq13
Kepler-1143,23.389,0.053,2210,-1,-1,-1,mcq13
Kepler-615,20.965,0.053,588,-1,-1,-1,mcq13
Kepler-263,22.745,0.054,999,-1,-1,-1,mcq13
Kepler-600,15.855,0.054,560,-1,-1,-1,mcq13
Kepler-296,35.856,0.056,1422,-1,-1,-1,mcq13
Kepler-977,21.184,0.056,1847,-1,-1,-1,mcq13
Kepler-398,30.289,0.056,2693,-1,-1,-1,mcq13
Kepler-1825,29.806,0.058,2325,-1,-1,-1,mcq13
Kepler-859,26.757,0.058,1480,-1,-1,-1,mcq13
Kepler-1797,16.279,0.058,2125,-1,-1,-1,mcq13
Kepler-981,14.023,0.058,1851,-1,-1,-1,mcq13
Kepler-1139,26.893,0.058,2202,-1,-1,-1,mcq13
Kepler-665,21.273,0.058,758,-1,-1,-1,mcq13
Kepler-686,16.493,0.059,809,-1,-1,-1,mcq13
Kepler-1826,35.128,0.059,2329,-1,-1,-1,mcq13
TOI-782,65.26,0.06,-1,-1,-1,-1,nasa
Kepler-336,10.258,0.06,1916,-1,-1,-1,mcq13
Kepler-1405,13.899,0.06,2998,-1,-1,-1,mcq13
HAT-P-68,24.59,0.06,-1,-1,-1,-1,nasa
Kepler-1845,22.749,0.06,2490,-1,-1,-1,mcq13
TOI-1860,4.43,0.06,-1,-1,-1,-1,nasa
K2-31,18.38,0.06,-1,-1,-1,-1,nasa
K2-415,4.3,0.06,-1,-1,-1,-1,nasa
Kepler-1849,24.053,0.06,2525,-1,-1,-1,mcq13
TOI-776,21.13,0.06,-1,-1,-1,-1,nasa
Kepler-833,29.412,0.061,1403,-1,-1,-1,mcq13
Kepler-1414,14.552,0.061,3026,-1,-1,-1,mcq13
Kepler-1673,11.533,0.062,1863,-1,-1,-1,mcq13
Kepler-224,21.878,0.063,733,-1,-1,-1,mcq13
Kepler-621,28.49,0.064,605,-1,-1,-1,mcq13
Kepler-564,18.987,0.065,470,-1,-1,-1,mcq13
Kepler-917,12.953,0.065,1637,-1,-1,-1,mcq13
