2MASS,objID,KIC,Teff,Rad,Mass,LClass,Bmag,Vmag,Kmag,TIC
"14354370-2601292 ",,,3533.0,0.584,0.48,"DWARF   ",,21.084,15.695,4633
"14354684-2601475 ",,,3847.0,0.55,0.545,"DWARF   ",18.913,17.931,14.238,4634
"14353438-2601559 ",,,5440.0,0.789,0.95,"DWARF   ",17.465,16.278,14.573,4635
"14354174-2602000 ",,,,,,"DWARF   ",,20.313,15.536,4636
"14353437-2602044 ",,,,,,"DWARF   ",,20.59,15.535,4637
"14354021-2602103 ",,,5399.0,0.748,0.94,"DWARF   ",16.68,15.947,13.588,4638
"14353876-2602229 ",,,5507.0,1.158,0.97,"DWARF   ",15.276,14.426,12.239,4639
"14352825-2602255 ",,,5577.0,0.967,0.98,"DWARF   ",15.262,14.6,12.54,4640
"14353948-2602262 ",,,5272.0,1.086,0.9,"DWARF   ",17.743,17.215,15.005,4641
"14353212-2602285 ",,,5753.0,1.114,1.03,"DWARF   ",17.161,16.202,14.509,4642
"14353841-2603198 ",,,5301.0,1.07,0.91,"DWARF   ",17.694,16.534,14.557,4643
"14352777-2603233 ",,,4739.0,0.77,0.76,"DWARF   ",16.254,15.386,12.524,4644
"14353238-2603267 ",,,5206.0,2.008,0.89,"DWARF   ",16.054,15.219,12.812,4645
"14353928-2603270 ",,,3580.0,0.408,0.5,"DWARF   ",,19.803,15.167,4646
"14354836-2603330 ",,,5294.0,0.809,0.91,"DWARF   ",18.069,17.315,15.054,4647
"14352895-2603390 ",,,6038.0,1.119,1.12,"DWARF   ",17.571,17.127,15.362,4648
"14353578-2603544 ",,,4006.0,0.785,0.626,"DWARF   ",17.363,16.225,12.269,4649
"14354375-2604059 ",,,3622.0,0.934,0.52,"DWARF   ",21.127,20.273,15.284,4650
"14354491-2604217 ",,,6132.0,0.661,1.16,"DWARF   ",18.122,17.832,15.052,4652
"14354235-2604295 ",,,5206.0,0.84,0.89,"DWARF   ",17.906,17.178,14.624,4653
"14352567-2604343 ",,,5692.0,1.047,1.01,"DWARF   ",18.093,17.7,15.612,4654
"14353050-2604363 ",,,4558.0,1.474,0.72,"DWARF   ",18.515,18.709,15.172,4655
"14352845-2604498 ",,,5572.0,0.646,0.98,"DWARF   ",18.317,17.747,17.039,4656
"14353292-2604502 ",,,3605.0,0.522,0.51,"DWARF   ",21.057,19.941,15.283,4657
"14352959-2605044 ",,,3516.0,0.329,0.31,"DWARF   ",20.529,19.535,15.026,4658
"14353250-2605063 ",,,5173.0,0.808,0.88,"DWARF   ",17.338,16.043,14.225,4659
"14352953-2605239 ",,,5507.0,1.099,0.97,"DWARF   ",17.739,17.065,15.209,4660
"14353461-2605260 ",,,,,,,,20.325,15.803,4662
"14354470-2605300 ",,,3853.0,1.126,0.59,"DWARF   ",20.851,19.588,15.214,4663
"14353610-2605321 ",,,5923.0,1.307,1.08,"DWARF   ",17.561,16.862,14.831,4664
"14353354-2605403 ",,,4989.0,0.768,0.83,"DWARF   ",16.307,15.363,12.853,4665
"14353995-2605426 ",,,3870.0,0.515,0.513,"DWARF   ",18.078,18.533,14.708,4666
"14355244-2605473 ",,,,,,"DWARF   ",20.849,20.379,15.746,4667
